simulation;output;similarity;length;answer_relevancy;faithfulness;hallucination;correctness
40;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkować tlen, który my oddychamy.

Wyobraź sobie, że roślina to taka mała fabryka. Ta fabryka potrzebuje trzech rzeczy: światła słonecznego, wody i powietrza (dokładniej dwutlenku węgla). Roślina pochłania wodę z ziemi przez swoje korzenie, a dwutlenek węgla z powietrza przez małe otworki na liściach. Potem, korzystając ze światła słonecznego, roślina zamienia te składniki w jedzenie, które nazywamy glukozą, czyli cukrem. Ten cukier roślina wykorzystuje do wzrostu i rozwoju. Przy tym wszystkim powstaje też tlen, który roślina wypuszcza do powietrza, i to jest bardzo ważne, bo my potrzebujemy tlenu, żeby oddychać.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla w jedzenie i tlen. Dzięki temu rośliny rosną, a my mamy co oddychać";0,75831133;136;;;;
41;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkują tlen, który my oddychamy.

Wyobraź sobie, że rośliny mają małe ""fabryki"" w liściach, które nazywają się chloroplasty. W tych ""fabrykach"" rośliny używają światła słonecznego, wody z ziemi i dwutlenku węgla z powietrza, żeby zrobić swoje jedzenie – cukier. Ten cukier daje roślinom energię do wzrostu i życia.

Podsumowując, fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu my możemy oddychać czyste powietrze, a rośliny rosnąć i być zdrowe.";0,7716539;98;;;;
42;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jest jak mała fabryka. W liściach rośliny znajdują się specjalne ""skrzynki"" zwane chloroplastami, które pomagają roślinie korzystać ze światła słonecznego. Kiedy słońce świeci na liście, roślina pochłania dwutlenek węgla z powietrza i wodę z gleby. Następnie, w tych ""skrzynkach"", roślina zamienia te składniki w jedzenie – cukry, które są dla niej źródłem energii. Przy okazji powstaje też tlen, który roślina wypuszcza do powietrza. 

Podsumowując, fotosynteza to naturalny sposób, w jaki rośliny robią jedzenie z światła słonecznego, powietrza i wody, a przy tym dają nam tlen do oddychania.";0,66736794;113;;;;
43;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą robić swoje jedzenie. 

Wyobraź sobie, że rośliny mają małe ""fabryki"" na swoich liściach. W tych fabrykach rośliny używają światła słonecznego, które pochłaniają z słońca, a także dwutlenku węgla z powietrza i wody z ziemi. 

Podczas fotosyntezy rośliny zamieniają te składniki w cukier, czyli swoje jedzenie, i tlen, który potem oddają do powietrza. To właśnie dzięki fotosyntezie rośliny rosną, a my i inni ludzie możemy oddychać czyste powietrze, bo rośliny produkują tlen. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, dwutlenek węgla i wodę na jedzenie i tlen.";0,7736075;104;;;;
44;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. 

Wyobraź sobie, że rośliny mają małe ""sklepiki"" na swoich liściach, które nazywamy chloroplastami. W tych sklepikach rośliny używają światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody, aby zrobić własne jedzenie – cukier. 

Podczas fotosyntezy rośliny zamieniają światło słoneczne na energię, którą mogą wykorzystać do wzrostu i rozwoju. W zamian za to dają nam tlen, który jest bardzo ważny, bo my go potrzebujemy do oddychania. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen.";0,7710966;101;;;;
45;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. 

Wyobraź sobie, że rośliny mają małe ""sklepiki"" na swoich liściach, które nazywamy chloroplastami. W tych sklepikach rośliny używają światła słonecznego, wody z ziemi i dwutlenku węgla z powietrza, żeby zrobić sobie cukier, czyli jedzenie. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen, który potem wydychają. Dzięki temu rośliny rosną, a my możemy oddychać!";0,7891176;81;;;;
46;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. 

Wyobraź sobie, że rośliny mają małe ""sklepiki"" na liściach, które nazywają się chloroplasty. W tych sklepikach rośliny używają światła słonecznego, powietrza (w szczególności dwutlenku węgla) i wody, aby zrobić własne jedzenie – cukier. 

Podczas fotosyntezy rośliny pochłaniają światło słoneczne, a potem zamieniają je w energię, którą mogą używać do wzrostu i rozwoju. W zamian za to rośliny produkują tlen, który my wszyscy oddychamy. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu rośliny mogą rosnąć, a my możemy oddychać!";0,7521423;108;;;;
47;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą robić swoje jedzenie. Wyobraź sobie, że rośliny mają małe ""fabryki"" w liściach. W tych fabrykach rośliny używają światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody, którą pobierają z ziemi. 

Podczas fotosyntezy rośliny zamieniają te składniki na cukry, czyli jedzenie dla nich, oraz tlen, który wydmuchują do powietrza. To ważne, bo ludzie i zwierzęta oddychają tym tlenem. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu rośliny rosną, a my mamy tlen do oddychania!";0,7840034;99;;;;
48;"Fotosynteza to proces, który pozwala roślinom robić własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zwłaszcza dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie, korzystając z promieni słonecznych, które działają jak magiczna moc. W liściach roślin znajdują się specjalne małe ""fabryki"" zwane chloroplastami, które zamieniają światło słoneczne, dwutlenek węgla z powietrza i wodę na cukry (które są jedzeniem dla rośliny) i tlen, który roślina wypuszcza do powietrza.

Podsumowując: fotosynteza to proces, dzięki któremu rośliny zamieniają światło słoneczne na jedzenie i jednocześnie pomagają nam oddychać, bo produkują tlen.";0,73753357;92;;;;
49;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkują tlen, który my wszyscy potrzebujemy do oddychania.

Wyobraź sobie, że rośliny mają w liściach małe ""słoneczne panele"", które nazywają się chloroplasty. To one pomagają roślinom korzystać ze światła słonecznego. Rośliny biorą wodę z ziemi i dwutlenek węgla z powietrza. Kiedy słońce świeci na liście, roślina zamienia wodę i dwutlenek węgla na jedzenie, które nazywamy glukozą, oraz na tlen, który wypuszcza do powietrza.

Podsumowując: fotosynteza to proces, w którym rośliny korzystają ze słońca, wody i dwutlenku węgla, żeby zrobić sobie jedzenie i wyprodukować tlen dla nas. To bardzo ważne, bo bez fotosyntezy nie byłoby roślin, a bez roślin nie mielibyśmy jedzenia ani tlenu!";0,77127886;122;;;;
50;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. Jak to robią? Rośliny pochłaniają z powietrza dwutlenek węgla (to taki gaz, który wydychamy) oraz wodę, którą czerpią z ziemi. Potem, korzystając z energii słonecznej, rośliny zamieniają te składniki w cukier, czyli jedzenie dla siebie. Przy okazji powstaje też tlen, który my i inne zwierzęta oddychamy. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla w jedzenie i tlen. Dzięki temu rośliny rosną, a my mamy co oddychać!";0,7822991;91;;;;
51;"Fotosynteza to proces, w którym rośliny produkują swoje własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""pije"" wodę z ziemi przez swoje korzenie, a z powietrza ""chwytuje"" dwutlenek węgla przez liście. Następnie, korzystając ze światła słonecznego, roślina zamienia te składniki na cukier, który jest jej jedzeniem, oraz tlen, który wypuszcza do powietrza. 

Dzięki fotosyntezie rośliny rosną i dają nam tlen do oddychania. To bardzo ważny proces, bo bez niego nie mielibyśmy powietrza do oddychania ani jedzenia.";0,7655494;88;;;;
52;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. Jak to robią? Rośliny pochłaniają z powietrza dwutlenek węgla (to taki gaz, który wydychamy) oraz wodę, którą czerpią z ziemi. Potem, korzystając z energii słonecznej, rośliny zamieniają te składniki w cukier, czyli jedzenie dla siebie. Przy okazji wytwarzają też tlen, który my i inne zwierzęta oddychamy. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu rośliny mogą rosnąć, a my możemy oddychać!";0,8024565;91;;;;
53;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie. W liściach roślin znajdują się specjalne małe ""fabryki"" zwane chloroplastami, które pochłaniają światło słoneczne. Dzięki temu mogą zamienić wodę i dwutlenek węgla na cukry (słodkie rzeczy, które roślina je je) i tlen, który potem wydmuchuje do powietrza. 

Podsumowując, fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. To bardzo ważne, bo dzięki temu mamy powietrze do oddychania i rośliny mogą rosnąć.";0,76774216;99;;;;
54;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie. W liściach roślin znajdują się specjalne małe ""sklepiki"" zwane chloroplastami, które pomagają roślinie zamienić światło słoneczne na energię. Roślina wciąga wodę z ziemi przez korzenie i dwutlenek węgla z powietrza. Następnie, korzystając ze światła słonecznego, zamienia te składniki na cukry (które są dla niej jedzeniem) i tlen, który wypuszcza do powietrza.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu rośliny rosną, a my i zwierzęta możemy oddychać!";0,7257578;109;;;;
55;"Fotosynteza to proces, w którym rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zwłaszcza dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""pije"" wodę z ziemi i ""wdycha"" powietrze. Potem, korzystając ze światła słonecznego, roślina zamienia te składniki na cukier, który jest jej jedzeniem, oraz tlen, który wydmuchuje do powietrza. 

Dzięki fotosyntezie rośliny rosną i dają nam tlen do oddychania. To bardzo ważny proces, bo bez niego nie mielibyśmy powietrza ani jedzenia!";0,774548;76;;;;
56;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""pije"" wodę z ziemi przez swoje korzenie, a jednocześnie ""chłonie"" dwutlenek węgla z powietrza przez małe otworki na liściach. Następnie, korzystając ze światła słonecznego, roślina zamienia te składniki w cukier, który jest jej jedzeniem, oraz tlen, który wypuszcza do powietrza. 

Dzięki fotosyntezie rośliny rosną, a my mamy tlen do oddychania i jedzenie, które dostarczają nam owoce i warzywa. To bardzo ważny proces, bo bez niego nie byłoby życia na Ziemi!";0,81158537;97;;;;
57;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. 

Wyobraź sobie, że rośliny mają małe ""fabryki"" na swoich liściach. W tych fabrykach rośliny używają światła słonecznego, powietrza (zawierającego tlen i dwutlenek węgla) oraz wody, którą pobierają z ziemi. 

Dzięki temu procesowi rośliny zamieniają te składniki w coś bardzo ważnego – w cukier, który jest ich jedzeniem. Przy okazji, podczas fotosyntezy, rośliny wydzielają tlen, który my oddychamy i którym oddychają zwierzęta. 

Podsumowując: fotosynteza to sposób, w jaki rośliny robią sobie jedzenie z światła słonecznego, powietrza i wody, a przy tym dają nam tlen do oddychania.";0,72226876;103;;;;
58;"Fotosynteza to proces, w którym rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zwłaszcza dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie, korzystając z promieni słonecznych, które działają jak magiczna moc. Roślina pochłania światło słoneczne przez liście, a potem zamienia dwutlenek węgla z powietrza i wodę z ziemi na cukry (słodkie rzeczy, które roślina je) i tlen, który potem wydmuchuje do powietrza. 

Dzięki fotosyntezie rośliny rosną, a my i zwierzęta możemy oddychać tlenem, bo rośliny go produkują. To bardzo ważny proces, bo bez niego nie byłoby życia na Ziemi!";0,7584628;96;;;;
59;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zawierającego tlen i dwutlenek węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie. W liściach roślin znajdują się specjalne małe ""sklepiki"" zwane chloroplastami, które pomagają roślinie zamienić światło słoneczne, dwutlenek węgla i wodę na cukry (słodkie węglowodany) i tlen. Cukry to dla rośliny jedzenie, które daje jej energię do wzrostu i rozwoju.

Podsumowując, fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na jedzenie i jednocześnie uwalniają tlen, który my i inne zwierzęta oddychamy.";0,7896753;92;;;;
60;"Fotosynteza to taki specjalny proces, który mają rośliny, aby same mogły zrobić sobie jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina to mała fabryka, która korzysta z promieni słonecznych jak z energii, aby zamienić powietrze i wodę na coś, co nazywamy ""pokarmem"" dla niej. W trakcie fotosyntezy roślina produkuje tlen, który my oddychamy, i cukry, które służą jej jako jedzenie. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na jedzenie, a przy tym dają nam tlen do oddychania.";0,7871769;90;;;;
61;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. Jak to robią? Rośliny pochłaniają z powietrza dwutlenek węgla (to taki gaz, który wydychamy) oraz wodę, którą czerpią z ziemi. Potem, korzystając z energii słonecznej, rośliny zamieniają te składniki w cukier, czyli jedzenie dla siebie, i tlen, który wydmuchują do powietrza. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na jedzenie i tlen, który my wszyscy potrzebujemy do oddychania.";0,7926146;79;;;;
62;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkują tlen, który my wszyscy potrzebujemy do oddychania.

Wyobraź sobie, że rośliny mają w liściach małe ""fabryki"" zwane chloroplastami. W tych fabrykach rośliny używają światła słonecznego, które pada na liście, do zamiany powietrza (zawierającego dwutlenek węgla) i wody (która pochodzi z gleby) na coś, co nazywamy ""cukrem"" – czyli ich jedzeniem. Przy tym procesie rośliny wydzielają tlen, który wypuszczają do powietrza.

Podsumowując: fotosynteza to sposób, w jaki rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. To bardzo ważne, bo dzięki temu mamy co jeść i możemy oddychać czyste powietrze!";0,754399;112;;;;
63;"Oczywiście! Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie. 

Wyobraź sobie, że rośliny mają małe ""sklepiki"" na swoich liściach, które nazywamy chloroplastami. W tych sklepikach rośliny używają światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody, aby zrobić własne jedzenie – cukier. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na energię, którą mogą wykorzystać do wzrostu i rozwoju. Dzięki temu rośliny rosną, a my możemy korzystać z ich owoców, warzyw i innych produktów!";0,79251176;85;;;;
64;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkować tlen, który my oddychamy.

Wyobraź sobie, że rośliny mają w liściach małe ""fabryki"" zwane chloroplastami. W tych fabrykach rośliny używają światła słonecznego, wody z ziemi i dwutlenku węgla z powietrza, żeby zrobić cukier – czyli jedzenie dla siebie. Ten cukier daje roślinom energię do wzrostu i rozwoju.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu rośliny rosną, a my możemy oddychać czyste powietrze!";0,78798133;95;;;;
65;"Fotosynteza to proces, dzięki któremu rośliny produkują swoje jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zwłaszcza dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""pije"" wodę z ziemi przez swoje korzenie, a jednocześnie ""łapie"" powietrze przez liście. Gdy słońce świeci na liście, roślina używa światła, aby zamienić wodę i dwutlenek węgla na coś, co nazywamy ""cukrem"" – to jest jej jedzenie, które daje jej energię do wzrostu i rozwoju. Przy okazji powstaje też tlen, który roślina wypuszcza do powietrza. 

Podsumowując, fotosynteza to naturalny sposób, w jaki rośliny robią jedzenie z światła, wody i powietrza, a przy tym dają nam tlen do oddychania.";0,7099558;104;;;;
66;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zawierającego tlen i dwutlenek węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""zjada"" światło słoneczne i zamienia je na energię, którą potem używa do wzrostu i rozwoju. W trakcie fotosyntezy roślina bierze dwutlenek węgla z powietrza i wodę z ziemi, a przy pomocy światła słonecznego i specjalnych substancji w liściach (zwanych chlorofil) zamienia je na cukry (słodkie rzeczy, które roślina je i rośnie). Przy okazji powstaje też tlen, który my i inne zwierzęta oddychamy.

Podsumowując: fotosynteza to naturalny sposób, w jaki rośliny robią swoje jedzenie, korzystając ze światła słonecznego, powietrza i wody.";0,7261207;108;;;;
67;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i rosnąć. 

Wyobraź sobie, że rośliny mają małe ""sklepiki"" na swoich liściach, które nazywają się chloroplasty. To właśnie tam rośliny ""zabierają"" światło słoneczne, które jest jak energia od słońca. Potem rośliny biorą z powietrza dwutlenek węgla (to taki gaz, który wydychamy, kiedy oddychamy) i wodę, którą pobierają z ziemi przez korzenie. 

Dzięki temu, w chloroplastach, rośliny zamieniają światło słoneczne, dwutlenek węgla i wodę na jedzenie, które nazywamy cukrem, oraz tlen, który wydmuchują do powietrza. Tlen jest bardzo ważny, bo my i inni zwierzęta potrzebujemy go do oddychania. 

Podsumowując: fotosynteza to proces, w którym rośliny robią sobie jedzenie z światła słonecznego, dwutlenku węgla i wody, a przy tym dają nam tlen do oddychania.";0,6829301;129;;;;
68;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i rosnąć. 

Wyobraź sobie, że rośliny mają w liściach małe fabryki. W tych fabrykach rośliny używają światła słonecznego, które pochłaniają z słońca, do zrobienia swojej własnej ""żywności"". Do tego potrzebują jeszcze dwutlenku węgla, który znajduje się w powietrzu, oraz wody, którą piją z ziemi. 

W wyniku fotosyntezy rośliny zamieniają światło słoneczne, dwutlenek węgla i wodę na cukry (które są ich jedzeniem) i tlen, który potem wydmuchują do powietrza. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, dwutlenek węgla i wodę na jedzenie i tlen. Dzięki temu rośliny rosną, a my możemy oddychać czyste powietrze!";0,76624024;113;;;;
69;"Fotosynteza to proces, który pozwala roślinom produkować własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zawierającego tlen i dwutlenek węgla) oraz wody. 

Wyobraź sobie, że roślina jakby „gotuje” swoje jedzenie. W liściach roślin znajdują się specjalne małe „sklepiki” zwane chloroplastami, które pochłaniają światło słoneczne. Dzięki temu roślina łączy dwutlenek węgla z powietrza i wodę z ziemi, tworząc cukry (słodkie węglowodany), które są jej jedzeniem. Przy okazji powstaje też tlen, który roślina wypuszcza do powietrza, a my go oddychamy.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, dwutlenek węgla i wodę na jedzenie i tlen. To bardzo ważne, bo dzięki temu mamy powietrze do oddychania i rośliny mogą rosnąć i dawać nam owoce, warzywa i cień.";0,7174965;118;;;;
70;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie. W liściach roślin znajdują się specjalne małe ""sklepiki"" zwane chloroplastami, które pomagają roślinie zamienić światło słoneczne na energię. Roślina pobiera wodę z ziemi przez korzenie i dwutlenek węgla z powietrza przez liście. Następnie, korzystając ze światła słonecznego, roślina łączy wodę i dwutlenek węgla, tworząc cukry (które są jej jedzeniem) i tlen, który potem wydmuchuje do powietrza.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen, który oddają do powietrza. Dzięki temu rośliny rosną, a my i zwierzęta możemy oddychać!";0,7154676;118;;;;
71;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (zwłaszcza dwutlenku węgla) i wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie, korzystając z energii słonecznej. W liściach rośliny znajdują się specjalne małe ""sklepiki"" zwane chloroplastami, które pomagają zamienić światło słoneczne, dwutlenek węgla i wodę w cukry (które są jedzeniem dla rośliny) i tlen, który roślina wypuszcza do powietrza.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na jedzenie i jednocześnie dają nam tlen do oddychania.";0,77123487;85;;;;
72;"Oczywiście! Fotosynteza to taki specjalny proces, który robią rośliny, aby same mogły wyprodukować sobie jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""pije"" wodę z ziemi przez swoje korzenie, a z powietrza ""łapie"" dwutlenek węgla przez liście. Potem, korzystając ze światła słonecznego, roślina zamienia te składniki w coś, co nazywamy ""cukrem"" – czyli jedzeniem dla niej. Przy tym procesie roślina wydziela tlen, który my wszyscy oddychamy.

Podsumowując: fotosynteza to sposób, w jaki rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen, który jest bardzo ważny dla życia na Ziemi.";0,77012694;103;;;;
73;"Fotosynteza to proces, dzięki któremu rośliny produkują własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina to mała fabryka, która korzysta ze słońca, powietrza i wody, aby zrobić sobie jedzenie. W trakcie fotosyntezy roślina zamienia te składniki na cukry (które są jej jedzeniem) i tlen, który potem wydmuchuje do powietrza. 

Dzięki fotosyntezie rośliny rosną, a my i zwierzęta możemy oddychać, bo tlen powstały podczas tego procesu trafia do powietrza. To bardzo ważny proces dla życia na Ziemi!";0,780738;87;;;;
74;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą zrobić sobie jedzenie i jednocześnie produkują tlen, który my oddychamy.

Wyobraź sobie, że rośliny mają w liściach małe ""fabryki"", które nazywają się chloroplasty. W tych fabrykach rośliny używają światła słonecznego, wody z ziemi i dwutlenku węgla z powietrza, żeby zrobić cukier – czyli swoje jedzenie. Ten cukier daje roślinom energię do wzrostu i rozwoju.

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie i tlen. Dzięki temu my możemy oddychać czyste powietrze, a rośliny rosną i są zdrowe.";0,79743725;99;;;;
75;"Fotosynteza to taki specjalny proces, który odbywa się w roślinach. Dzięki niemu rośliny mogą robić własne jedzenie. Wyobraź sobie, że rośliny mają małe ""kuchnie"" na swoich liściach. W tych ""kuchniach"" rośliny używają światła słonecznego, powietrza (zawierającego tlen i dwutlenek węgla) oraz wody, którą pobierają z ziemi. 

Dzięki temu procesowi rośliny zamieniają światło słoneczne na energię, którą mogą używać do wzrostu i rozwoju. W zamian za to rośliny produkują tlen, który my i inni ludzie oddychamy. 

Podsumowując: fotosynteza to sposób, w jaki rośliny robią własne jedzenie, korzystając ze słońca, powietrza i wody, a przy tym dają nam tlen do oddychania.";0,7150787;99;;;;
76;"Fotosynteza to taki specjalny proces, który robią rośliny, aby wyprodukować własne jedzenie. Rośliny potrzebują do tego światła słonecznego, powietrza (w szczególności dwutlenku węgla) oraz wody. 

Wyobraź sobie, że roślina jakby ""gotuje"" swoje jedzenie na słońcu. W liściach roślin są specjalne małe ""sklepiki"" zwane chloroplastami, które pomagają roślinie zamienić światło słoneczne na energię. Ta energia jest potem używana do połączenia dwutlenku węgla z powietrza i wody, tworząc cukier, który jest dla rośliny jej jedzeniem. Przy tym procesie powstaje też tlen, który roślina wypuszcza do powietrza. 

Podsumowując: fotosynteza to proces, w którym rośliny zamieniają światło słoneczne, wodę i dwutlenek węgla na jedzenie (cukier) i tlen, który oddają do powietrza.";0,7446084;107;;;;
77;"Fotosynteza to proces, w którym rośliny, drzewa i niektóre inne rośliny zamieniają światło słoneczne na jedzenie. Wyobraź sobie, że rośliny mają specjalne ""sklepiki"" w liściach, które nazywają się chloroplasty. To właśnie tam rośliny ""robia"" swoje jedzenie.

Podczas fotosyntezy rośliny pobierają z powietrza dwutlenek węgla (to taki gaz, który wydychamy, kiedy oddychamy) oraz wodę z ziemi. Następnie, korzystając ze światła słonecznego, rośliny zamieniają te składniki w cukier, który jest ich jedzeniem, oraz tlen, który wydmuchują do powietrza.

Dzięki fotosyntezie rośliny rosną, a my i inni ludzie możemy oddychać czyste powietrze, bo rośliny produkują tlen. To bardzo ważny proces, bo dzięki niemu na Ziemi jest życie!";0,77369153;104;;;;
78;"Fotosynteza to taki specjalny proces, który dzieje się w roślinach. Dzięki niemu rośliny mogą robić własne jedzenie. Jak to robią? Rośliny pochłaniają z powietrza dwutlenek węgla (to taki gaz, który wydychamy, kiedy oddychamy) oraz wodę, którą czerpią z ziemi. 

Następnie, korzystając z energii słonecznej, rośliny zamieniają te składniki w cukier, czyli jedzenie dla siebie, i tlen, który wydmuchują do powietrza. To właśnie dzięki fotosyntezie rośliny mogą rosnąć i dawać nam tlen, którego potrzebujemy do oddychania. 

Podsumowując, fotosynteza to proces, w którym rośliny zamieniają światło słoneczne na jedzenie i tlen, co jest bardzo ważne dla życia na Ziemi!";0,76023036;97;;;;
